Use Group,Use Header,Use Name,Zoning District,Permitted Value
VI Services,Personal and Laundry Services (812),Personal dry cleaning services,C2,●S     P
VI Services,Personal and Laundry Services (812),Industrial dry cleaning and laundry services,C2,–
VI Services,Personal and Laundry Services (812),Pet care services (81291),C2,●P
VI Services,Personal and Laundry Services (812),All other personal services (in 8129),C2,●
VII,Laboratories,Laboratories,C2,●P
VII,Offices,"Offices, business, professional including ambulatory diagnostic or treatment health care, or governmental",C2,●
VIII,Amusement and Recreation Facilities,#Amusement or recreation facilities#,C2,●S     P
VIII,Amusement and Recreation Facilities,#Select entertainment facilities#,C2,●S
VIII,Amusement and Recreation Facilities,#Outdoor amusement parks#,C2,–
VIII,Art Galleries and Studios,Art galleries,C2,●
VIII,Art Galleries and Studios,"Art, music, dancing or theatrical studios",C2,●
VIII,Art Galleries and Studios,Production or entertainment studios,C2,●S
VIII,Entertainment and Sporting Venues,Arenas or auditoriums,C2,–
VIII,Entertainment and Sporting Venues,Drive-in theaters,C2,–
VIII,Entertainment and Sporting Venues,Racetracks,C2,–
VIII,Entertainment and Sporting Venues,Stadiums,C2,–
VIII,Entertainment and Sporting Venues,Theaters,C2,●P
VIII,Other Assembly Spaces,"Banquet, function or reception halls",C2,●
VIII,Other Assembly Spaces,Gaming facilities,C2,–
VIII,Other Assembly Spaces,Historical exhibits,C2,●
VIII,Other Assembly Spaces,Meeting halls,C2,●
VIII,Other Assembly Spaces,Non-commercial clubs,C2,●
VIII,Other Assembly Spaces,Observation decks,C2,●U
VIII,Other Assembly Spaces,Outdoor day camps,C2,○
VIII,Other Assembly Spaces,Publicly accessible spaces,C2,●U
VIII,Other Assembly Spaces,Riding academies or stables,C2,○
VIII,Other Assembly Spaces,Trade expositions,C2,–
IX(A),General Storage,Building materials or contractors' yard,C2,–
IX(A),General Storage,"Depositories for storage of office records, microfilm or computer tapes, or for data processing",C2,–
IX(A),General Storage,Micro-distribution facility,C2,♦S
IX(A),General Storage,Moving or storage offices,C2,–
IX(A),General Storage,#Self-service storage facility#,C2,–
IX(A),General Storage,Trucking terminals or motor freight stations,C2,–
IX(A),General Storage,Warehouses,C2,–
IX(A),General Storage,Wholesale establishments,C2,●S     P
IX(B),Specialized Storage,Coal or gas storage,C2,–
IX(B),Specialized Storage,"Explosives storage, when not prohibited by other ordinances",C2,–
IX(B),Specialized Storage,Grain storage,C2,–
IX(B),Specialized Storage,"Junk or salvage yards, including auto wrecking or similar establishments",C2,–
IX(B),Specialized Storage,Lumber yard,C2,–
IX(B),Specialized Storage,"Manure, peat or topsoil storage",C2,–
IX(B),Specialized Storage,"Petroleum or petroleum products, storage or handling",C2,–
IX(B),Specialized Storage,Refrigerating plants,C2,–
IX(B),Specialized Storage,"Scrap metal, junk, paper or rags storage, sorting, or baling",C2,–
IX(C),Vehicle Storage,Boat storage,C2,●P     U
IX(C),Vehicle Storage,"Commercial or public vehicle storage, including #accessory# motor fuel pumps",C2,–
IX(C),Vehicle Storage,Dead storage of motor vehicles,C2,–
IX(C),Vehicle Storage,#Public parking garages# or #public parking lots#,C2,♦P     U
X,Food Manufacturing (311),Animal food manufacturing (3111),C2,–
X,Food Manufacturing (311),Sugar manufacturing (31131),C2,–
X,Food Manufacturing (311),All other sugar and confectionary product manufacturing (in 3113),C2,●S     P
X,Food Manufacturing (311),Animal slaughtering and processing (3116),C2,–
X,Food Manufacturing (311),Seafood product preparation and packaging (3117),C2,–
X,Food Manufacturing (311),All other food manufacturing (in 311),C2,●S     P
X,Beverage and Tobacco Product Manufacturing (312),Distilleries (31214),C2,–
X,Beverage and Tobacco Product Manufacturing (312),All other beverage manufacturing (in 3121),C2,●S     P
X,Beverage and Tobacco Product Manufacturing (312),Tobacco manufacturing (3122),C2,●S     P
X,Textile & Textile Product Mills (313 - 314),Textile mills (313),C2,●S     P
X,Textile & Textile Product Mills (313 - 314),Textile product mills (314),C2,●S     P
X,Apparel Manufacturing (315),Apparel manufacturing (315),C2,●S     P
X,Leather and Allied Product Manufacturing (316),Leather and hide tanning and finishing (3161),C2,–
X,Leather and Allied Product Manufacturing (316),Footwear manufacturing (3162),C2,●S     P
X,Leather and Allied Product Manufacturing (316),Other leather and allied product manufacturing (3169),C2,●S     P
X,Wood Product Manufacturing (321),Sawmills and wood preservation (3211),C2,–
X,Wood Product Manufacturing (321),"Veneer, plywood, and engineered wood product manufacturing (3212)",C2,–
X,Wood Product Manufacturing (321),Other wood product manufacturing (3219),C2,●S     P
X,Paper Manufacturing (322),"Pulp, paper, and paperboard mills (3221)",C2,–
X,Paper Manufacturing (322),Stationary product manufacturing (32223),C2,●S     P
X,Paper Manufacturing (322),All other converted paper product manufacturing (in 3222),C2,●S     P
X,Printing and Related Support Activities (323),Printing and related support activities (3231),C2,●S     P
X,Petroleum and Coal Products Manufacturing (324),Petroleum and coal products manufacturing (3241),C2,–
X,Chemical Manufacturing (325),Pharmaceutical and medicine manufacturing (3254),C2,●S     P
X,Chemical Manufacturing (325),Soap and other detergent manufacturing (325611),C2,●S     P
X,Chemical Manufacturing (325),"All other soap, cleaning compound and toilet preparation manufacturing (in 3256)",C2,●S     P
X,Chemical Manufacturing (325),All other chemical manufacturing (in 325),C2,–
X,Plastics and Rubber Products Manufacturing (326),Plastics and rubber products manufacturing (326),C2,–
X,Nonmetallic Mineral Product Manufacturing (327),Clay building material and refractories manufacturing (32712),C2,–
X,Nonmetallic Mineral Product Manufacturing (327),All other clay product and refractory manufacturing (in 3271),C2,●S     P
X,Nonmetallic Mineral Product Manufacturing (327),Flat glass manufacturing (327211),C2,–
X,Nonmetallic Mineral Product Manufacturing (327),Other pressed and blown glass and glassware manufacturing (327212),C2,–
X,Nonmetallic Mineral Product Manufacturing (327),All other glass and glass product manufacturing (in 3272),C2,●S     P
X,Nonmetallic Mineral Product Manufacturing (327),All other nonmetallic mineral product manufacturing (in 327),C2,–
X,Primary Metal Manufacturing and Fabricated Metal Product Manufacturing (331 - 332),Primary metal manufacturing (331),C2,–
X,Primary Metal Manufacturing and Fabricated Metal Product Manufacturing (331 - 332),Cutlery and handtool manufacturing (3322),C2,●S     P
X,Primary Metal Manufacturing and Fabricated Metal Product Manufacturing (331 - 332),All other fabricated metal product manufacturing (in 332),C2,●S     P
X,Machinery Manufacturing (333),"Agriculture, construction and mining machinery manufacturing (3331)",C2,–
X,Machinery Manufacturing (333),All other machinery manufacturing (in 333),C2,●S     P
X,Computer and Electronic Product Manufacturing (334),Computer and peripheral equipment manufacturing (334),C2,●S     P
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",Electric lighting equipment manufacturing (3351),C2,●S     P
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",Small electrical appliance manufacturing (33521),C2,●S     P
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",Major household appliance manufacturing (33522),C2,–
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",All other electrical equipment and component manufacturing (in 335),C2,–
X,Transportation Equipment Manufacturing (336),Transportation equipment manufacturing (336),C2,–
X,Furniture and Related Product Manufacturing (337),Furniture and related product manufacturing (337),C2,●S     P
X,Miscellaneous Manufacturing (339),Medical equipment and supplies manufacturing (3391),C2,●S     P
X,Miscellaneous Manufacturing (339),Other miscellaneous manufacturing (3399),C2,●S     P
I,Agriculture,"Agricultural #uses#, including greenhouses, nurseries or truck gardens",C3,●P     U
I,Open Uses,Cemeteries,C3,●
I,Open Uses,Golf courses,C3,●
I,Open Uses,Outdoor racket courts,C3,●P
I,Open Uses,Outdoor skating rinks,C3,●P
I,Open Uses,#Public parks# or playgrounds or private parks,C3,●
I,Open Uses,"Sand, gravel or clay pits",C3,○
II,Residential Uses,#Single-family residence# #Detached#,C3,●
II,Residential Uses,#Single-family residence# #Zero lot line#,C3,●
II,Residential Uses,#Single-family residence# #Semi-detached#,C3,♦
II,Residential Uses,#Single-family residence# Other types,C3,♦
II,Residential Uses,#Two-family residence# #Detached#,C3,●
II,Residential Uses,#Two-family residence# #Zero lot line#,C3,●
II,Residential Uses,#Two-family residence# #Semi-detached#,C3,♦
II,Residential Uses,#Two-family residence# Other types,C3,♦
II,Residential Uses,"All other types of #residences#, including #apartment hotels# and #affordable independent residences for seniors#",C3,♦
III(A),Educational Institutions,College or school student dormitories and fraternity or sorority student houses,C3,●
III(A),Faith-based Institutions and Facilities,"Monasteries, convents or novitiates",C3,●
III(A),Faith-based Institutions and Facilities,Rectories or parish houses with sleeping accommodations,C3,●
III(A),Faith-based Institutions and Facilities,Seminaries with sleeping accommodations,C3,●
III(A),Health Institutions and Facilities,#Long-term care facilities#,C3,●P
III(A),Health Institutions and Facilities,#Non-profit hospital staff dwellings#,C3,●P
III(A),Other Institutions and Facilities,Philanthropic or non-profit institutions with sleeping accommodations,C3,●S
III(A),Other Institutions and Facilities,Settlement houses,C3,●
III(B),Educational Institutions,"Colleges or universities, including professional schools but excluding business colleges or trade schools",C3,●
III(B),Educational Institutions,#Schools#,C3,●
III(B),Faith-based Institutions and Facilities,Houses of worship,C3,●
III(B),Faith-based Institutions and Facilities,Parish houses without sleeping accommodations,C3,●
III(B),Faith-based Institutions and Facilities,Seminaries without sleeping accommodations,C3,●
III(B),Health Institutions and Facilities,Ambulatory diagnostic or treatment health care facilities,C3,●P
III(B),Health Institutions and Facilities,"Non-profit or voluntary hospitals and related facilities, except animal hospitals",C3,●
III(B),Health Institutions and Facilities,"Proprietary hospitals and related facilities, except animal hospitals",C3,●
III(B),Other Institutions and Facilities,Community centers,C3,●
III(B),Other Institutions and Facilities,Libraries,C3,●
III(B),Other Institutions and Facilities,Museums,C3,●
III(B),Other Institutions and Facilities,Non-commercial art galleries,C3,●
III(B),Other Institutions and Facilities,Non-commercial clubs,C3,●P
III(B),Other Institutions and Facilities,Non-commercial recreation centers,C3,●
III(B),Other Institutions and Facilities,"Philanthropic or non-profit institutions without sleeping accommodations, excluding ambulatory diagnostic or treatment health care facilities",C3,●S
III(B),Other Institutions and Facilities,Welfare centers,C3,●
IV(A),Public Service Buildings,Court houses,C3,–
IV(A),Public Service Buildings,Fire or police stations,C3,–
IV(A),Other Facilities,Prisons,C3,–
IV(B),Communication Infrastructure,"Radio or television towers, non-#accessory#",C3,○
IV(B),Communication Infrastructure,Telephone exchanges or other communications equipment structures,C3,–
IV(B),Electric and Gas Infrastructure,Electric power or steam generating plants,C3,–
IV(B),Electric and Gas Infrastructure,Electric utility substations,C3,○
IV(B),Electric and Gas Infrastructure,Gas utility substations,C3,–
IV(B),Electric and Gas Infrastructure,Public utility stations for oil or gas metering or regulating,C3,–
IV(B),Electric and Gas Infrastructure,"Terminal facilities at river crossings for access to electric, gas, or steam lines",C3,–
IV(B),"Sewage, Storm Water and Waste Infrastructure",Composting,C3,–
IV(B),"Sewage, Storm Water and Waste Infrastructure","Dumps, recycling or material recovery facilities, marine transfer stations for garbage or slag piles",C3,–
IV(B),"Sewage, Storm Water and Waste Infrastructure","Incineration or reduction of garbage, offal or dead animals",C3,–
IV(B),"Sewage, Storm Water and Waste Infrastructure",Radioactive waste disposal services involving the handling or storage of radioactive waste,C3,–
IV(B),"Sewage, Storm Water and Waste Infrastructure",Sewage disposal plants,C3,○
IV(B),"Sewage, Storm Water and Waste Infrastructure",Water or sewage pumping stations,C3,–
IV(B),Transportation Infrastructure,Airports,C3,–
IV(B),Transportation Infrastructure,Boat launching facilities for non-commercial pleasure boats,C3,●U
IV(B),Transportation Infrastructure,Bus stations,C3,–
IV(B),Transportation Infrastructure,Docks,C3,●S     P     U
IV(B),Transportation Infrastructure,"Freight terminals, yards or appurtenances, or facilities or services used or required in railroad operations, but not including passenger stations",C3,–
IV(B),Transportation Infrastructure,Heliports,C3,○
IV(B),Transportation Infrastructure,Mooring facilities for non-commercial pleasure boats,C3,●U
IV(B),Transportation Infrastructure,Public transit or railroad electric substations,C3,○
IV(B),Transportation Infrastructure,"Public transit yards, including #accessory# motor fuel pumps",C3,–
IV(B),Transportation Infrastructure,Railroad or transit rights-of-way,C3,●U
IV(B),Transportation Infrastructure,Railroad passenger stations,C3,○
IV(B),Transportation Infrastructure,Seaplane bases,C3,○
IV(B),Transportation Infrastructure,Truck weighing stations,C3,–
IV(C),Renewable Energy and Green Infrastructure,#Energy infrastructure equipment#,C3,●P     U
IV(C),Renewable Energy and Green Infrastructure,Public bicycle and micromobility parking,C3,●U
IV(C),Renewable Energy and Green Infrastructure,"Recycling, or organic material, receiving",C3,●S
V,Transient Accommodations,#Motels#,C3,–
V,Transient Accommodations,Overnight camps,C3,○
V,Transient Accommodations,#Tourist cabins#,C3,–
V,Transient Accommodations,#Transient hotels#,C3,–
VI Retail,Motor Vehicle and Parts Dealer (441),Automobile dealers (4411),C3,–
VI Retail,Motor Vehicle and Parts Dealer (441),Boat dealers (441222),C3,●P     U
VI Retail,Motor Vehicle and Parts Dealer (441),All other motor vehicle dealers (in 4412),C3,–
VI Retail,Motor Vehicle and Parts Dealer (441),"Automotive parts, accessories and tire retailers (4413)",C3,–
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),"Lumber yards, retail (in 444180)",C3,–
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),All other building material and supplies dealers (in 4441),C3,–
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),Lawn and garden equipment and supplies retailers (4442),C3,–
VI Retail,Food and Beverage Retailers (445),Grocery and convenience retailers (4451),C3,–
VI Retail,Food and Beverage Retailers (445),Specialty food retailers (4452),C3,●
VI Retail,Food and Beverage Retailers (445),"Beer, wine and liquor retailers (4453)",C3,–
VI Retail,"Furniture, Home Furnishings, Electronics, and Appliance Retailers (449)",Furniture and home furnishing retailers (4491),C3,–
VI Retail,"Furniture, Home Furnishings, Electronics, and Appliance Retailers (449)",Electronics and appliance retailers (4492),C3,–
VI Retail,General Merchandise Retailers (455),Department stores (4551),C3,–
VI Retail,General Merchandise Retailers (455),"Warehouse clubs, supercenters, and other general merchandise retailers (4552)",C3,–
VI Retail,Health and Personal Care Retailers (456),Health and personal care retailers (4561),C3,–
VI Retail,Gasoline Stations and Fuel Dealers (457),#Automotive service stations#,C3,–
VI Retail,Gasoline Stations and Fuel Dealers (457),Electric vehicle charging and battery swapping,C3,●U
VI Retail,Gasoline Stations and Fuel Dealers (457),Boat fuel sales,C3,●P     U
VI Retail,Gasoline Stations and Fuel Dealers (457),Fuel dealers (4572),C3,–
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)",Clothing and clothing accessories retailers (4581),C3,–
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)",Shoe retailers (4582),C3,–
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)","Jewelry, luggage, and leather goods retailers (4583)",C3,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Sporting goods retailers (45911),C3,●
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",All other hobby and musical instrument retailers (in 4591),C3,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Book retailers,C3,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",News dealers,C3,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Florists (4593),C3,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)","Office supplies, stationary, and gift retailers (4594)",C3,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Used merchandise retailers (4595),C3,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Miscellaneous retailers (4599),C3,–
VI Services,Postal Service (491) / Couriers and Messengers (492),Postal service (4911),C3,–
VI Services,Postal Service (491) / Couriers and Messengers (492),Couriers and express delivery services (4921),C3,–
VI Services,Postal Service (491) / Couriers and Messengers (492),Local messengers and local delivery (4922),C3,–
VI Services,Telecommunications (517),Wired and wireless telecommunications (5171),C3,–
VI Services,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services (518)","Computing infrastructure providers, data processing, web hosting, and related services (5182)",C3,–
VI Services,Credit Intermediation and Related Activities (522),"Savings, loan and other financial services (5221, 5222 and 5223)",C3,–
VI Services,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities (523)","Securities, commodity contracts, and other financial investments and related activities (5231, 5232 and 5239)",C3,–
VI Services,Insurance Carriers and Related Activities (524),Insurance carriers and related activities (5241 and 5242),C3,–
VI Services,"Funds, Trusts and Other Financial Vehicles (525)","Funds, trusts and other financial vehicles (5251 and 5259)",C3,–
VI Services,Real Estate (531),"Real estate (5311, 5312, and 5313)",C3,–
VI Services,Rental and Leasing Services (532),Automotive equipment rental and leasing (5321),C3,–
VI Services,Rental and Leasing Services (532),Consumer electronics and appliances rental (53221),C3,–
VI Services,Rental and Leasing Services (532),Recreational goods rental (532284),C3,●U
VI Services,Rental and Leasing Services (532),All other consumer goods rentals (in 5322),C3,–
VI Services,Rental and Leasing Services (532),General rental centers (5323),C3,–
VI Services,Rental and Leasing Services (532),Commercial and industrial machinery and equipment rental and leasing (5324),C3,–
VI Services,"Professional, Scientific, and Technical Services (541)",Veterinary services (54194),C3,–
VI Services,"Professional, Scientific, and Technical Services (541)","All other professional, scientific, and technical services (in 541)",C3,–
VI Services,Management of Companies and Enterprises (551),Management of companies and enterprises (5511),C3,–
VI Services,Administrative and Support Services (561),Travel and reservation services (5615),C3,–
VI Services,Administrative and Support Services (561),Carpet and upholstery cleaning services (56174),C3,–
VI Services,Administrative and Support Services (561),All other services to buildings and dwellings (in 5617),C3,–
VI Services,Administrative and Support Services (561),All other administrative and support services (in 561),C3,–
VI Services,Educational Services (611),Business schools and computer and management training (6114),C3,–
VI Services,Educational Services (611),Technical and trade schools (6115),C3,–
VI Services,Educational Services (611),All other schools and instruction (6116 and 6117),C3,–
VI Services,Food Services and Drinking Places (722),Special food services (7223),C3,●
VI Services,Food Services and Drinking Places (722),Eating or drinking establishments (7224 and 7225),C3,●S     U
VI Services,Repair and Maintenance (811),#Heavy motor vehicle repair and maintenance shops#,C3,–
VI Services,Repair and Maintenance (811),#Light motor vehicle repair and maintenance shops#,C3,–
VI Services,Repair and Maintenance (811),Car washes (811192),C3,–
VI Services,Repair and Maintenance (811),Electronic and precision equipment repair and maintenance (8112),C3,–
VI Services,Repair and Maintenance (811),Commercial and industrial machinery and equipment repair and maintenance (8113),C3,–
VI Services,Repair and Maintenance (811),Bicycle repair,C3,●
VI Services,Repair and Maintenance (811),Recreational boat repair,C3,●P     U
VI Services,Repair and Maintenance (811),Home and garden equipment and appliance repair and maintenance (81141),C3,–
VI Services,Repair and Maintenance (811),All other personal and household goods repair and maintenance (in 8114),C3,–
VI Services,Personal and Laundry Services (812),#Health and fitness establishments#,C3,●P     U
VI Services,Personal and Laundry Services (812),All other personal care services (in 8121),C3,–
VI Services,Personal and Laundry Services (812),Funeral homes and funeral services (81221),C3,–
VI Services,Personal and Laundry Services (812),Crematoriums,C3,–
VI Services,Personal and Laundry Services (812),Personal laundry services,C3,–
VI Services,Personal and Laundry Services (812),Personal dry cleaning services,C3,–
VI Services,Personal and Laundry Services (812),Industrial dry cleaning and laundry services,C3,–
VI Services,Personal and Laundry Services (812),Pet care services (81291),C3,–
VI Services,Personal and Laundry Services (812),All other personal services (in 8129),C3,–
VII,Laboratories,Laboratories,C3,–
VII,Offices,"Offices, business, professional including ambulatory diagnostic or treatment health care, or governmental",C3,–
VIII,Amusement and Recreation Facilities,#Amusement or recreation facilities#,C3,○
VIII,Amusement and Recreation Facilities,#Select entertainment facilities#,C3,○
VIII,Amusement and Recreation Facilities,#Outdoor amusement parks#,C3,–
VIII,Art Galleries and Studios,Art galleries,C3,–
VIII,Art Galleries and Studios,"Art, music, dancing or theatrical studios",C3,–
VIII,Art Galleries and Studios,Production or entertainment studios,C3,–
VIII,Entertainment and Sporting Venues,Arenas or auditoriums,C3,–
VIII,Entertainment and Sporting Venues,Drive-in theaters,C3,–
VIII,Entertainment and Sporting Venues,Racetracks,C3,–
VIII,Entertainment and Sporting Venues,Stadiums,C3,–
VIII,Entertainment and Sporting Venues,Theaters,C3,–
VIII,Other Assembly Spaces,"Banquet, function or reception halls",C3,–
VIII,Other Assembly Spaces,Gaming facilities,C3,–
VIII,Other Assembly Spaces,Historical exhibits,C3,–
VIII,Other Assembly Spaces,Meeting halls,C3,–
VIII,Other Assembly Spaces,Non-commercial clubs,C3,●
VIII,Other Assembly Spaces,Observation decks,C3,–
VIII,Other Assembly Spaces,Outdoor day camps,C3,○
VIII,Other Assembly Spaces,Publicly accessible spaces,C3,–
VIII,Other Assembly Spaces,Riding academies or stables,C3,○
VIII,Other Assembly Spaces,Trade expositions,C3,–
IX(A),General Storage,Building materials or contractors' yard,C3,–
IX(A),General Storage,"Depositories for storage of office records, microfilm or computer tapes, or for data processing",C3,–
IX(A),General Storage,Micro-distribution facility,C3,–
IX(A),General Storage,Moving or storage offices,C3,–
IX(A),General Storage,#Self-service storage facility#,C3,–
IX(A),General Storage,Trucking terminals or motor freight stations,C3,–
IX(A),General Storage,Warehouses,C3,–
IX(A),General Storage,Wholesale establishments,C3,–
IX(B),Specialized Storage,Coal or gas storage,C3,–
IX(B),Specialized Storage,"Explosives storage, when not prohibited by other ordinances",C3,–
IX(B),Specialized Storage,Grain storage,C3,–
IX(B),Specialized Storage,"Junk or salvage yards, including auto wrecking or similar establishments",C3,–
IX(B),Specialized Storage,Lumber yard,C3,–
IX(B),Specialized Storage,"Manure, peat or topsoil storage",C3,–
IX(B),Specialized Storage,"Petroleum or petroleum products, storage or handling",C3,–
IX(B),Specialized Storage,Refrigerating plants,C3,–
IX(B),Specialized Storage,"Scrap metal, junk, paper or rags storage, sorting, or baling",C3,–
IX(C),Vehicle Storage,Boat storage,C3,●P     U
IX(C),Vehicle Storage,"Commercial or public vehicle storage, including #accessory# motor fuel pumps",C3,–
IX(C),Vehicle Storage,Dead storage of motor vehicles,C3,–
IX(C),Vehicle Storage,#Public parking garages# or #public parking lots#,C3,–
X,Food Manufacturing (311),Animal food manufacturing (3111),C3,–
X,Food Manufacturing (311),Sugar manufacturing (31131),C3,–
X,Food Manufacturing (311),All other sugar and confectionary product manufacturing (in 3113),C3,–
X,Food Manufacturing (311),Animal slaughtering and processing (3116),C3,–
X,Food Manufacturing (311),Seafood product preparation and packaging (3117),C3,–
X,Food Manufacturing (311),All other food manufacturing (in 311),C3,–
X,Beverage and Tobacco Product Manufacturing (312),Distilleries (31214),C3,–
X,Beverage and Tobacco Product Manufacturing (312),All other beverage manufacturing (in 3121),C3,–
X,Beverage and Tobacco Product Manufacturing (312),Tobacco manufacturing (3122),C3,–
X,Textile & Textile Product Mills (313 - 314),Textile mills (313),C3,–
X,Textile & Textile Product Mills (313 - 314),Textile product mills (314),C3,–
X,Apparel Manufacturing (315),Apparel manufacturing (315),C3,–
X,Leather and Allied Product Manufacturing (316),Leather and hide tanning and finishing (3161),C3,–
X,Leather and Allied Product Manufacturing (316),Footwear manufacturing (3162),C3,–
X,Leather and Allied Product Manufacturing (316),Other leather and allied product manufacturing (3169),C3,–
X,Wood Product Manufacturing (321),Sawmills and wood preservation (3211),C3,–
X,Wood Product Manufacturing (321),"Veneer, plywood, and engineered wood product manufacturing (3212)",C3,–
X,Wood Product Manufacturing (321),Other wood product manufacturing (3219),C3,–
X,Paper Manufacturing (322),"Pulp, paper, and paperboard mills (3221)",C3,–
X,Paper Manufacturing (322),Stationary product manufacturing (32223),C3,–
X,Paper Manufacturing (322),All other converted paper product manufacturing (in 3222),C3,–
X,Printing and Related Support Activities (323),Printing and related support activities (3231),C3,–
X,Petroleum and Coal Products Manufacturing (324),Petroleum and coal products manufacturing (3241),C3,–
X,Chemical Manufacturing (325),Pharmaceutical and medicine manufacturing (3254),C3,–
X,Chemical Manufacturing (325),Soap and other detergent manufacturing (325611),C3,–
X,Chemical Manufacturing (325),"All other soap, cleaning compound and toilet preparation manufacturing (in 3256)",C3,–
X,Chemical Manufacturing (325),All other chemical manufacturing (in 325),C3,–
X,Plastics and Rubber Products Manufacturing (326),Plastics and rubber products manufacturing (326),C3,–
X,Nonmetallic Mineral Product Manufacturing (327),Clay building material and refractories manufacturing (32712),C3,–
X,Nonmetallic Mineral Product Manufacturing (327),All other clay product and refractory manufacturing (in 3271),C3,–
X,Nonmetallic Mineral Product Manufacturing (327),Flat glass manufacturing (327211),C3,–
X,Nonmetallic Mineral Product Manufacturing (327),Other pressed and blown glass and glassware manufacturing (327212),C3,–
X,Nonmetallic Mineral Product Manufacturing (327),All other glass and glass product manufacturing (in 3272),C3,–
X,Nonmetallic Mineral Product Manufacturing (327),All other nonmetallic mineral product manufacturing (in 327),C3,–
X,Primary Metal Manufacturing and Fabricated Metal Product Manufacturing (331 - 332),Primary metal manufacturing (331),C3,–
X,Primary Metal Manufacturing and Fabricated Metal Product Manufacturing (331 - 332),Cutlery and handtool manufacturing (3322),C3,–
X,Primary Metal Manufacturing and Fabricated Metal Product Manufacturing (331 - 332),All other fabricated metal product manufacturing (in 332),C3,–
X,Machinery Manufacturing (333),"Agriculture, construction and mining machinery manufacturing (3331)",C3,–
X,Machinery Manufacturing (333),All other machinery manufacturing (in 333),C3,–
X,Computer and Electronic Product Manufacturing (334),Computer and peripheral equipment manufacturing (334),C3,–
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",Electric lighting equipment manufacturing (3351),C3,–
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",Small electrical appliance manufacturing (33521),C3,–
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",Major household appliance manufacturing (33522),C3,–
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",All other electrical equipment and component manufacturing (in 335),C3,–
X,Transportation Equipment Manufacturing (336),Transportation equipment manufacturing (336),C3,–
X,Furniture and Related Product Manufacturing (337),Furniture and related product manufacturing (337),C3,–
X,Miscellaneous Manufacturing (339),Medical equipment and supplies manufacturing (3391),C3,–
X,Miscellaneous Manufacturing (339),Other miscellaneous manufacturing (3399),C3,–
I,Agriculture,"Agricultural #uses#, including greenhouses, nurseries or truck gardens",C4,●P     U
I,Open Uses,Cemeteries,C4,●
I,Open Uses,Golf courses,C4,●
I,Open Uses,Outdoor racket courts,C4,●P
I,Open Uses,Outdoor skating rinks,C4,●P
I,Open Uses,#Public parks# or playgrounds or private parks,C4,●
I,Open Uses,"Sand, gravel or clay pits",C4,○
II,Residential Uses,#Single-family residence# #Detached#,C4,●P
II,Residential Uses,#Single-family residence# #Zero lot line#,C4,●P
II,Residential Uses,#Single-family residence# #Semi-detached#,C4,●P
II,Residential Uses,#Single-family residence# Other types,C4,●P
II,Residential Uses,#Two-family residence# #Detached#,C4,●P
II,Residential Uses,#Two-family residence# #Zero lot line#,C4,●P
II,Residential Uses,#Two-family residence# #Semi-detached#,C4,●P
II,Residential Uses,#Two-family residence# Other types,C4,●P
II,Residential Uses,"All other types of #residences#, including #apartment hotels# and #affordable independent residences for seniors#",C4,●P
III(A),Educational Institutions,College or school student dormitories and fraternity or sorority student houses,C4,●
III(A),Faith-based Institutions and Facilities,"Monasteries, convents or novitiates",C4,●
III(A),Faith-based Institutions and Facilities,Rectories or parish houses with sleeping accommodations,C4,●
III(A),Faith-based Institutions and Facilities,Seminaries with sleeping accommodations,C4,●
III(A),Health Institutions and Facilities,#Long-term care facilities#,C4,●P
III(A),Health Institutions and Facilities,#Non-profit hospital staff dwellings#,C4,●P
III(A),Other Institutions and Facilities,Philanthropic or non-profit institutions with sleeping accommodations,C4,●S
III(A),Other Institutions and Facilities,Settlement houses,C4,●
